avg_finish,champ,conf,g,l,name,perc,poff_g,poff_l,poff_perc,poff_w,sb,t,w,yrs
8.0,0,0,10,8,Al Cornsweet,0.2,0,0,,0,0,0,2,1
2.8,0,0,195,83,Don Coryell,0.572,9,6,0.333,3,0,1,111,14
3.9,0,0,124,77,Bruce Coslet,0.379,1,1,0.0,0,0,0,47,9
5.0,0,0,2,1,Frank Coughlin,0.0,0,0,,0,0,1,0,1
2.5,2,2,320,150,Tom Coughlin,0.531,19,7,0.632,12,2,0,170,20
1.9,1,2,240,90,Bill Cowher,0.623,21,9,0.571,12,1,1,149,15
4.0,0,0,46,26,Milan Creighton,0.381,0,0,,0,0,4,16,4
3.7,,,83,55,Romeo Crennel,0.337,0,0,,0,,0,28,6
5.5,0,0,18,12,Clem Crowe,0.294,1,1,0.0,0,0,1,5,2
4.0,0,0,10,10,Jim Crowley,0.0,0,0,,0,0,0,0,1
2.5,,,32,16,Gunther Cunningham,0.5,0,0,,0,,0,16,2
7.0,0,0,10,4,Russ Daugherty,0.5,0,0,,0,0,2,4,1
2.3,0,0,42,16,Al Davis,0.59,0,0,,0,0,3,23,3
3.3,,,59,35,Butch Davis,0.407,1,1,0.0,0,,0,24,4
2.3,0,0,48,25,Red Dawson,0.432,2,1,0.5,1,0,4,19,4
2.5,0,0,45,16,Dudley DeGroot,0.619,1,1,0.0,0,0,3,26,4
2.8,0,0,155,80,Jack Del Rio,0.484,3,2,0.333,1,0,0,75,10
15.0,0,0,8,8,Herb Dell,0.0,0,0,,0,0,0,0,1
6.3,0,0,38,21,Jack Depler,0.364,0,0,,0,0,5,12,3
2.8,0,0,56,27,Dan Devine,0.481,1,1,0.0,0,0,4,25,4
5.7,0,0,26,18,Hugh Devore,0.28,0,0,,0,0,1,7,3
2.5,0,0,24,11,Lone Star Dietz,0.5,0,0,,0,0,2,11,2
5.0,0,0,12,10,Luby DiMeolo,0.167,0,0,,0,0,0,2,1
2.6,1,1,216,95,Mike Ditka,0.56,12,6,0.5,6,1,0,121,14
13.0,0,0,4,3,Mel Doherty,0.25,0,0,,0,0,0,1,1
4.5,0,0,15,11,Aldo Donelli,0.267,0,0,,0,0,0,4,2
3.3,0,0,56,36,Jim Dooley,0.357,0,0,,0,0,0,20,4
3.4,0,0,53,31,Gus Dorais,0.392,0,0,,0,0,2,20,5
5.0,0,0,11,6,Jap Douds,0.333,0,0,,0,0,2,3,1
4.0,0,0,5,2,Bob Dove,0.5,0,0,,0,0,1,2,1
